Label:, CH1: Time
DateTime:, Sun Jan 12 00:32:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 16384
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 16384, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 0.000 , dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
1.21875000E-01, 1.34497182E-03
1.22656250E-01, 1.33625790E-03
1.23437500E-01, 1.34638895E-03
1.24218750E-01, 1.49602874E-03
1.25000000E-01, 1.47874327E-03
1.25781250E-01, 1.50350190E-03
1.26562500E-01, 1.59122795E-03
1.27343750E-01, 1.58337015E-03
1.28125000E-01, 1.52840535E-03
1.28906250E-01, 1.51262397E-03
1.29687500E-01, 1.53955852E-03
1.30468750E-01, 1.40719896E-03
1.31250000E-01, 1.33892102E-03
1.32031250E-01, 1.34403666E-03
1.32812500E-01, 1.24727807E-03
1.33593750E-01, 1.16414600E-03
1.34375000E-01, 1.15210516E-03
1.35156250E-01, 1.19436265E-03
1.35937500E-01, 1.12480985E-03
1.36718750E-01, 1.08587404E-03
1.37500000E-01, 1.15338806E-03
1.38281250E-01, 1.11653318E-03
1.39062500E-01, 1.05681375E-03
1.39843750E-01, 1.11517136E-03
1.40625000E-01, 1.19141233E-03
1.41406250E-01, 1.16170943E-03
1.42187500E-01, 1.18791685E-03
1.42968750E-01, 1.26770081E-03
1.43750000E-01, 1.24905608E-03
1.44531250E-01, 1.28988060E-03
1.45312500E-01, 1.38447387E-03
1.46093750E-01, 1.43511069E-03
1.46875000E-01, 1.40371919E-03
1.47656250E-01, 1.39152561E-03
1.48437500E-01, 1.49052590E-03
1.49218750E-01, 1.47918577E-03
1.50000000E-01, 1.45209057E-03
1.50781250E-01, 1.46711338E-03
1.51562500E-01, 1.43079332E-03
1.52343750E-01, 1.39789504E-03
1.53125000E-01, 1.35545840E-03
1.53906250E-01, 1.35827961E-03
1.54687500E-01, 1.31551898E-03
1.55468750E-01, 1.24714104E-03
1.56250000E-01, 1.22234819E-03
1.57031250E-01, 1.11385691E-03
1.57812500E-01, 1.02281442E-03
1.58593750E-01, 1.01421645E-03
1.59375000E-01, 9.71732428E-04
1.60156250E-01, 9.21962317E-04
1.60937500E-01, 8.87554663E-04
1.61718750E-01, 8.72458215E-04
1.62500000E-01, 8.39314947E-04
1.63281250E-01, 7.94365362E-04
1.64062500E-01, 7.99125293E-04
1.64843750E-01, 7.91312312E-04
1.65625000E-01, 7.90669583E-04
1.66406250E-01, 7.90774939E-04
1.67187500E-01, 7.46739388E-04
1.67968750E-01, 7.29372259E-04
1.68750000E-01, 7.69862207E-04
1.69531250E-01, 8.01322225E-04
1.70312500E-01, 7.68566213E-04
1.71093750E-01, 7.80285685E-04
1.71875000E-01, 8.31991958E-04
1.72656250E-01, 7.86963326E-04
1.73437500E-01, 7.63635035E-04
1.74218750E-01, 7.83349213E-04
1.75000000E-01, 7.48204009E-04
1.75781250E-01, 6.73053553E-04
1.76562500E-01, 6.26354828E-04
1.77343750E-01, 6.37860911E-04
1.78125000E-01, 5.90024283E-04
1.78906250E-01, 5.25982119E-04
1.79687500E-01, 5.22960734E-04
1.80468750E-01, 4.35885333E-04
1.81250000E-01, 2.85882066E-04
1.82031250E-01, 2.05310469E-04
1.82812500E-01, 1.24538667E-04
1.83593750E-01, -2.06256141E-06
1.84375000E-01, -1.18000637E-04
1.85156250E-01, -2.42779017E-04
1.85937500E-01, -4.12327878E-04
1.86718750E-01, -5.42203372E-04
1.87500000E-01, -5.99586347E-04
1.88281250E-01, -7.29511899E-04
1.89062500E-01, -8.88189476E-04
1.89843750E-01, -9.96193383E-04
1.90625000E-01, -1.13882369E-03
1.91406250E-01, -1.25344726E-03
1.92187500E-01, -1.32755982E-03
1.92968750E-01, -1.36120094E-03
1.93750000E-01, -1.37354736E-03
1.94531250E-01, -1.44630065E-03
1.95312500E-01, -1.42086775E-03
1.96093750E-01, -1.35498168E-03
1.96875000E-01, -1.35916204E-03
1.97656250E-01, -1.31241861E-03
1.98437500E-01, -1.26507983E-03
1.99218750E-01, -1.22788514E-03
2.00000000E-01, -1.17705087E-03
2.00781250E-01, -1.11315888E-03
2.01562500E-01, -1.05233828E-03
2.02343750E-01, -1.02084933E-03
2.03125000E-01, -9.82598402E-04
2.03906250E-01, -9.63993254E-04
2.04687500E-01, -9.19496699E-04
2.05468750E-01, -8.36601772E-04
2.06250000E-01, -8.30345612E-04
2.07031250E-01, -8.44096008E-04
2.07812500E-01, -8.48589931E-04
2.08593750E-01, -8.73622485E-04
2.09375000E-01, -8.78553663E-04
2.10156250E-01, -9.01046908E-04
2.10937500E-01, -9.02187545E-04
2.11718750E-01, -9.07956390E-04
2.12500000E-01, -9.34084761E-04
2.13281250E-01, -9.24970547E-04
2.14062500E-01, -8.99587583E-04
2.14843750E-01, -8.86337657E-04
2.15625000E-01, -9.34914569E-04
2.16406250E-01, -9.08686023E-04
2.17187500E-01, -8.38253414E-04
2.17968750E-01, -8.10810539E-04
2.18750000E-01, -7.29298510E-04
2.19531250E-01, -6.79986726E-04
2.20312500E-01, -6.52046001E-04
2.21093750E-01, -5.94033452E-04
2.21875000E-01, -4.74012428E-04
2.22656250E-01, -3.68213310E-04
2.23437500E-01, -3.26582754E-04
2.24218750E-01, -2.02665746E-04
2.25000000E-01, -9.80019613E-05
2.25781250E-01, -5.76700586E-05
2.26562500E-01, 9.54362713E-06
2.27343750E-01, 8.98439102E-05
2.28125000E-01, 1.56991737E-04
2.28906250E-01, 2.11637758E-04
2.29687500E-01, 2.43458635E-04
2.30468750E-01, 2.58481363E-04
2.31250000E-01, 3.13032535E-04
2.32031250E-01, 3.40672967E-04
