Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:35:51 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
1.24000000E+02, -9.17143049E+01
1.24800000E+02, -8.50012915E+01
1.25600000E+02, -7.09500752E+01
1.26400000E+02, -6.36695510E+01
1.27200000E+02, -6.48569683E+01
1.28000000E+02, -7.47731298E+01
1.28800000E+02, -8.88179428E+01
1.29600000E+02, -8.79257431E+01
1.30400000E+02, -7.05440399E+01
1.31200000E+02, -6.70434182E+01
1.32000000E+02, -7.29562913E+01
1.32800000E+02, -8.07783549E+01
1.33600000E+02, -8.21490555E+01
1.34400000E+02, -7.41706923E+01
1.35200000E+02, -6.95843069E+01
1.36000000E+02, -7.08792753E+01
1.36800000E+02, -7.90957659E+01
1.37600000E+02, -8.62603379E+01
1.38400000E+02, -8.45293365E+01
1.39200000E+02, -7.69990367E+01
1.40000000E+02, -7.38371544E+01
1.40800000E+02, -7.57118960E+01
1.41600000E+02, -8.34032975E+01
1.42400000E+02, -8.51701214E+01
1.43200000E+02, -7.94670021E+01
1.44000000E+02, -7.22260170E+01
1.44800000E+02, -7.70042491E+01
1.45600000E+02, -8.59755981E+01
1.46400000E+02, -8.32354045E+01
1.47200000E+02, -8.06824075E+01
1.48000000E+02, -7.03524041E+01
1.48800000E+02, -6.87731266E+01
1.49600000E+02, -7.81991822E+01
1.50400000E+02, -8.94383896E+01
1.51200000E+02, -8.77612387E+01
1.52000000E+02, -8.50745532E+01
1.52800000E+02, -7.32287486E+01
1.53600000E+02, -7.67891782E+01
1.54400000E+02, -8.64011176E+01
1.55200000E+02, -8.72622263E+01
1.56000000E+02, -8.62623818E+01
1.56800000E+02, -8.34383297E+01
1.57600000E+02, -7.96421756E+01
1.58400000E+02, -8.10785992E+01
1.59200000E+02, -9.56001876E+01
1.60000000E+02, -1.00173393E+02
1.60800000E+02, -8.12646326E+01
1.61600000E+02, -7.51790066E+01
1.62400000E+02, -7.74890507E+01
1.63200000E+02, -9.23840707E+01
1.64000000E+02, -9.33176645E+01
1.64800000E+02, -8.50265904E+01
1.65600000E+02, -7.30642105E+01
1.66400000E+02, -7.26256083E+01
1.67200000E+02, -8.32950255E+01
1.68000000E+02, -8.98870108E+01
1.68800000E+02, -9.14582669E+01
1.69600000E+02, -7.91386932E+01
1.70400000E+02, -7.42401332E+01
1.71200000E+02, -7.58231377E+01
1.72000000E+02, -8.93835447E+01
1.72800000E+02, -9.04162680E+01
1.73600000E+02, -8.43820334E+01
1.74400000E+02, -7.73601578E+01
1.75200000E+02, -7.56650770E+01
1.76000000E+02, -8.12259557E+01
1.76800000E+02, -9.09380111E+01
1.77600000E+02, -9.67274647E+01
1.78400000E+02, -8.41578071E+01
1.79200000E+02, -8.24836882E+01
1.80000000E+02, -7.94436039E+01
1.80800000E+02, -9.55779825E+01
1.81600000E+02, -9.01618799E+01
1.82400000E+02, -8.13509119E+01
1.83200000E+02, -7.68715888E+01
1.84000000E+02, -7.69791820E+01
1.84800000E+02, -8.37895086E+01
1.85600000E+02, -9.64379092E+01
1.86400000E+02, -8.79139678E+01
1.87200000E+02, -7.71798907E+01
1.88000000E+02, -7.44719129E+01
1.88800000E+02, -7.90983270E+01
1.89600000E+02, -9.64479342E+01
1.90400000E+02, -9.72789696E+01
1.91200000E+02, -8.41998149E+01
1.92000000E+02, -7.93672352E+01
1.92800000E+02, -8.01089657E+01
1.93600000E+02, -8.70275603E+01
1.94400000E+02, -9.53903198E+01
1.95200000E+02, -8.91980218E+01
1.96000000E+02, -8.58920393E+01
1.96800000E+02, -8.31835675E+01
1.97600000E+02, -8.23132546E+01
1.98400000E+02, -9.50256945E+01
1.99200000E+02, -9.33193458E+01
2.00000000E+02, -8.90714764E+01
2.00800000E+02, -9.62146693E+01
2.01600000E+02, -9.02407489E+01
2.02400000E+02, -9.33647402E+01
2.03200000E+02, -1.04548987E+02
2.04000000E+02, -9.07162959E+01
2.04800000E+02, -8.56346478E+01
2.05600000E+02, -8.45977182E+01
2.06400000E+02, -8.77122445E+01
2.07200000E+02, -9.94026303E+01
2.08000000E+02, -9.29156101E+01
2.08800000E+02, -8.84046272E+01
2.09600000E+02, -8.90414629E+01
2.10400000E+02, -9.24915458E+01
2.11200000E+02, -9.47968534E+01
2.12000000E+02, -1.16592368E+02
2.12800000E+02, -9.31834296E+01
2.13600000E+02, -8.61420515E+01
2.14400000E+02, -8.52794027E+01
2.15200000E+02, -9.05246934E+01
2.16000000E+02, -9.49677866E+01
2.16800000E+02, -9.38931958E+01
2.17600000E+02, -9.52693775E+01
2.18400000E+02, -1.02215217E+02
2.19200000E+02, -1.08037958E+02
2.20000000E+02, -1.04557561E+02
2.20800000E+02, -1.05832926E+02
2.21600000E+02, -9.80179548E+01
2.22400000E+02, -9.63781552E+01
2.23200000E+02, -1.00999277E+02
2.24000000E+02, -9.75002147E+01
2.24800000E+02, -1.00044387E+02
2.25600000E+02, -9.66608498E+01
2.26400000E+02, -9.55842683E+01
2.27200000E+02, -1.00710617E+02
2.28000000E+02, -1.03487539E+02
2.28800000E+02, -1.05906946E+02
2.29600000E+02, -1.01782633E+02
2.30400000E+02, -9.85007897E+01
2.31200000E+02, -1.06322893E+02
2.32000000E+02, -9.70859138E+01
2.32800000E+02, -9.62878522E+01
2.33600000E+02, -9.99337347E+01
2.34400000E+02, -1.07912769E+02
2.35200000E+02, -1.13711362E+02
2.36000000E+02, -1.07218073E+02
2.36800000E+02, -1.01995732E+02
2.37600000E+02, -1.02815373E+02
2.38400000E+02, -1.02644699E+02
2.39200000E+02, -1.12987838E+02
2.40000000E+02, -1.17468589E+02
2.40800000E+02, -1.07634935E+02
2.41600000E+02, -1.19727543E+02
2.42400000E+02, -1.16855419E+02
2.43200000E+02, -1.01364152E+02
2.44000000E+02, -1.00798215E+02
2.44800000E+02, -1.01997765E+02
2.45600000E+02, -1.02603459E+02
2.46400000E+02, -1.05310348E+02
2.47200000E+02, -1.07828289E+02
2.48000000E+02, -1.03849114E+02
2.48800000E+02, -1.02506013E+02
2.49600000E+02, -9.90821612E+01
2.50400000E+02, -9.69083627E+01
2.51200000E+02, -1.07335273E+02
2.52000000E+02, -1.24020854E+02
2.52800000E+02, -1.01456759E+02
2.53600000E+02, -9.71997607E+01
2.54400000E+02, -9.99737662E+01
2.55200000E+02, -1.04960905E+02
2.56000000E+02, -9.78960152E+01
2.56800000E+02, -9.41981129E+01
2.57600000E+02, -9.99717660E+01
2.58400000E+02, -1.06621496E+02
2.59200000E+02, -1.05363855E+02
2.60000000E+02, -1.13869513E+02
2.60800000E+02, -1.06922570E+02
2.61600000E+02, -1.02524369E+02
2.62400000E+02, -1.03878081E+02
2.63200000E+02, -1.27706495E+02
2.64000000E+02, -1.04852168E+02
2.64800000E+02, -1.01058988E+02
2.65600000E+02, -9.93889146E+01
2.66400000E+02, -1.02081165E+02
2.67200000E+02, -9.97451830E+01
2.68000000E+02, -1.06865662E+02
2.68800000E+02, -1.03664638E+02
2.69600000E+02, -1.01958622E+02
2.70400000E+02, -9.93390139E+01
2.71200000E+02, -9.79636679E+01
2.72000000E+02, -1.00418981E+02
2.72800000E+02, -1.15428227E+02
2.73600000E+02, -9.74904767E+01
2.74400000E+02, -9.52781813E+01
2.75200000E+02, -9.62341690E+01
2.76000000E+02, -9.55296219E+01
2.76800000E+02, -1.04661404E+02
2.77600000E+02, -1.04551076E+02
2.78400000E+02, -9.80819190E+01
2.79200000E+02, -9.68756150E+01
2.80000000E+02, -1.01025459E+02
2.80800000E+02, -1.03081943E+02
2.81600000E+02, -1.02084428E+02
2.82400000E+02, -9.86237137E+01
2.83200000E+02, -9.65567139E+01
2.84000000E+02, -1.20811606E+02
2.84800000E+02, -9.92388690E+01
2.85600000E+02, -1.14839326E+02
2.86400000E+02, -1.04957487E+02
2.87200000E+02, -1.00199591E+02
2.88000000E+02, -9.89899134E+01
2.88800000E+02, -9.73617536E+01
2.89600000E+02, -1.06126033E+02
2.90400000E+02, -1.07758561E+02
2.91200000E+02, -1.06349952E+02
2.92000000E+02, -9.56960294E+01
2.92800000E+02, -9.24645483E+01
2.93600000E+02, -1.00803418E+02
2.94400000E+02, -1.07595604E+02
2.95200000E+02, -1.07079564E+02
2.96000000E+02, -9.75874901E+01
2.96800000E+02, -9.40525662E+01
2.97600000E+02, -9.60619416E+01
2.98400000E+02, -1.03031933E+02
2.99200000E+02, -9.74873371E+01
3.00000000E+02, -9.49155173E+01
3.00800000E+02, -1.03587510E+02
3.01600000E+02, -9.50862474E+01
3.02400000E+02, -9.43728670E+01
3.03200000E+02, -9.93843300E+01
3.04000000E+02, -1.03356676E+02
3.04800000E+02, -9.97292021E+01
3.05600000E+02, -9.96786130E+01
3.06400000E+02, -9.87796025E+01
3.07200000E+02, -9.87743143E+01
3.08000000E+02, -1.01844276E+02
3.08800000E+02, -9.95068846E+01
3.09600000E+02, -9.44902202E+01
3.10400000E+02, -9.20349266E+01
3.11200000E+02, -9.54650858E+01
3.12000000E+02, -1.09689339E+02
3.12800000E+02, -1.10434106E+02
3.13600000E+02, -1.04949435E+02
3.14400000E+02, -9.82765540E+01
3.15200000E+02, -9.84015878E+01
3.16000000E+02, -1.00956453E+02
3.16800000E+02, -1.01146056E+02
3.17600000E+02, -9.29632875E+01
3.18400000E+02, -9.35866613E+01
3.19200000E+02, -8.95867926E+01
3.20000000E+02, -8.86997946E+01
3.20800000E+02, -1.02075710E+02
3.21600000E+02, -9.49609828E+01
3.22400000E+02, -9.84030968E+01
3.23200000E+02, -1.11310495E+02
3.24000000E+02, -1.00549509E+02
3.24800000E+02, -1.28979936E+02
3.25600000E+02, -9.96567105E+01
3.26400000E+02, -9.26459245E+01
3.27200000E+02, -9.04658945E+01
3.28000000E+02, -9.01855507E+01
3.28800000E+02, -9.15661277E+01
3.29600000E+02, -1.03744759E+02
3.30400000E+02, -9.51331291E+01
3.31200000E+02, -9.65385503E+01
3.32000000E+02, -1.00233494E+02
3.32800000E+02, -1.03308319E+02
3.33600000E+02, -1.02981580E+02
3.34400000E+02, -1.00229429E+02
3.35200000E+02, -9.40316881E+01
3.36000000E+02, -9.15184932E+01
3.36800000E+02, -8.89026531E+01
3.37600000E+02, -8.96654009E+01
3.38400000E+02, -9.95166918E+01
3.39200000E+02, -1.11832029E+02
3.40000000E+02, -1.11833291E+02
3.40800000E+02, -1.08415180E+02
3.41600000E+02, -1.09656658E+02
3.42400000E+02, -1.08447799E+02
3.43200000E+02, -1.12040552E+02
3.44000000E+02, -9.30328878E+01
3.44800000E+02, -9.33341523E+01
3.45600000E+02, -9.37798070E+01
3.46400000E+02, -9.15295131E+01
3.47200000E+02, -1.04810859E+02
3.48000000E+02, -1.03215058E+02
3.48800000E+02, -9.96255159E+01
3.49600000E+02, -9.99343298E+01
3.50400000E+02, -1.01483838E+02
