Label:, CH2: Time
DateTime:, Wed Jan  1 00:34:42 2003
DataKind:, CH2, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 6.01313174E-01
6.10351562E-04, 6.10763788E-01
1.22070312E-03, 6.20296478E-01
1.83105469E-03, 6.29155099E-01
2.44140625E-03, 6.37570143E-01
3.05175781E-03, 6.46148324E-01
3.66210938E-03, 6.55046344E-01
4.27246094E-03, 6.63662612E-01
4.88281250E-03, 6.71591699E-01
5.49316406E-03, 6.79561853E-01
6.10351562E-03, 6.87640250E-01
6.71386719E-03, 6.95251584E-01
7.32421875E-03, 7.02983975E-01
7.93457031E-03, 7.09666610E-01
8.54492188E-03, 7.15766072E-01
9.15527344E-03, 7.22647548E-01
9.76562500E-03, 7.29341447E-01
1.03759766E-02, 7.36117899E-01
1.09863281E-02, 7.42542028E-01
1.15966797E-02, 7.48328507E-01
1.22070312E-02, 7.54116595E-01
1.28173828E-02, 7.59741008E-01
1.34277344E-02, 7.64941573E-01
1.40380859E-02, 7.69907057E-01
1.46484375E-02, 7.75087953E-01
1.52587891E-02, 7.79858291E-01
1.58691406E-02, 7.84724057E-01
1.64794922E-02, 7.89638400E-01
1.70898438E-02, 7.93533921E-01
1.77001953E-02, 7.96782196E-01
1.83105469E-02, 7.99183905E-01
1.89208984E-02, 8.01562130E-01
1.95312500E-02, 8.04702759E-01
2.01416016E-02, 8.07959616E-01
2.07519531E-02, 8.11415792E-01
2.13623047E-02, 8.14805388E-01
2.19726562E-02, 8.17733824E-01
2.25830078E-02, 8.20541739E-01
2.31933594E-02, 8.23077798E-01
2.38037109E-02, 8.24759305E-01
2.44140625E-02, 8.25582385E-01
2.50244141E-02, 8.25867653E-01
2.56347656E-02, 8.26092064E-01
2.62451172E-02, 8.26487124E-01
2.68554688E-02, 8.26603353E-01
2.74658203E-02, 8.26422095E-01
2.80761719E-02, 8.25875103E-01
2.86865234E-02, 8.25152159E-01
2.92968750E-02, 8.24554563E-01
2.99072266E-02, 8.23750079E-01
3.05175781E-02, 8.22905064E-01
3.11279297E-02, 8.21949184E-01
3.17382812E-02, 8.20399404E-01
3.23486328E-02, 8.18650782E-01
3.29589844E-02, 8.16850960E-01
3.35693359E-02, 8.14894974E-01
3.41796875E-02, 8.12553465E-01
3.47900391E-02, 8.09826553E-01
3.54003906E-02, 8.07255864E-01
3.60107422E-02, 8.04750204E-01
3.66210938E-02, 8.02195489E-01
3.72314453E-02, 7.99276650E-01
3.78417969E-02, 7.96462297E-01
3.84521484E-02, 7.93587208E-01
3.90625000E-02, 7.90023804E-01
3.96728516E-02, 7.86104858E-01
4.02832031E-02, 7.81652272E-01
4.08935547E-02, 7.76509225E-01
4.15039062E-02, 7.70699263E-01
4.21142578E-02, 7.64998615E-01
4.27246094E-02, 7.59122610E-01
4.33349609E-02, 7.53174007E-01
4.39453125E-02, 7.47083664E-01
4.45556641E-02, 7.40759254E-01
4.51660156E-02, 7.35564530E-01
4.57763672E-02, 7.30197608E-01
4.63867188E-02, 7.23935604E-01
4.69970703E-02, 7.17274785E-01
4.76074219E-02, 7.10122466E-01
4.82177734E-02, 7.02494562E-01
4.88281250E-02, 6.94753647E-01
4.94384766E-02, 6.87090576E-01
5.00488281E-02, 6.78845346E-01
