Label:, CH1: Time
DateTime:, Wed Jan  1 00:41:33 2003
DataKind:, CH1, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 2000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 8.84436727E-01
1.95312500E-04, 8.82911205E-01
3.90625000E-04, 8.81394207E-01
5.85937500E-04, 8.77348542E-01
7.81250000E-04, 8.76437545E-01
9.76562500E-04, 8.72251332E-01
1.17187500E-03, 8.68679166E-01
1.36718750E-03, 8.67920041E-01
1.56250000E-03, 8.61302018E-01
1.75781250E-03, 8.59624803E-01
1.95312500E-03, 8.55780721E-01
2.14843750E-03, 8.48667204E-01
2.34375000E-03, 8.48918140E-01
2.53906250E-03, 8.41246545E-01
2.73437500E-03, 8.37304652E-01
2.92968750E-03, 8.36314797E-01
3.12500000E-03, 8.26968133E-01
3.32031250E-03, 8.26842308E-01
3.51562500E-03, 8.20173383E-01
3.71093750E-03, 8.12544823E-01
3.90625000E-03, 8.13275039E-01
4.10156250E-03, 8.02140474E-01
4.29687500E-03, 7.99495220E-01
4.49218750E-03, 7.95934677E-01
4.68750000E-03, 7.84046233E-01
4.88281250E-03, 7.85161912E-01
5.07812500E-03, 7.75166690E-01
5.27343750E-03, 7.67355978E-01
5.46875000E-03, 7.66912520E-01
5.66406250E-03, 7.51754463E-01
5.85937500E-03, 7.50000775E-01
6.05468750E-03, 7.43658781E-01
6.25000000E-03, 7.29934514E-01
6.44531250E-03, 7.31768191E-01
6.64062500E-03, 7.17646122E-01
6.83593750E-03, 7.10834563E-01
7.03125000E-03, 7.08775401E-01
7.22656250E-03, 6.90631449E-01
7.42187500E-03, 6.91490173E-01
7.61718750E-03, 6.80260003E-01
7.81250000E-03, 6.66366994E-01
8.00781250E-03, 6.68925166E-01
8.20312500E-03, 6.49554551E-01
8.39843750E-03, 6.44541621E-01
8.59375000E-03, 6.39575183E-01
8.78906250E-03, 6.18799567E-01
8.98437500E-03, 6.20968044E-01
9.17968750E-03, 6.05336070E-01
9.37500000E-03, 5.92245102E-01
9.57031250E-03, 5.93659997E-01
9.76562500E-03, 5.70892990E-01
9.96093750E-03, 5.68663716E-01
1.01562500E-02, 5.60083866E-01
1.03515625E-02, 5.39422095E-01
1.05468750E-02, 5.43309689E-01
1.07421875E-02, 5.22929072E-01
1.09375000E-02, 5.12729824E-01
1.11328125E-02, 5.11399031E-01
1.13281250E-02, 4.85178739E-01
1.15234375E-02, 4.85809863E-01
1.17187500E-02, 4.72224504E-01
1.19140625E-02, 4.52501863E-01
1.21093750E-02, 4.56467152E-01
1.23046875E-02, 4.31704253E-01
1.25000000E-02, 4.25101936E-01
1.26953125E-02, 4.20595139E-01
1.28906250E-02, 3.94172907E-01
1.30859375E-02, 3.97758693E-01
1.32812500E-02, 3.78966659E-01
1.34765625E-02, 3.62110794E-01
1.36718750E-02, 3.64219576E-01
1.38671875E-02, 3.35289329E-01
1.40625000E-02, 3.32456410E-01
1.42578125E-02, 3.23281944E-01
1.44531250E-02, 2.97787488E-01
1.46484375E-02, 3.02887678E-01
1.48437500E-02, 2.79209524E-01
1.50390625E-02, 2.67195702E-01
1.52343750E-02, 2.67246425E-01
