Label:, CH1: Power Spectrum
DateTime:, Wed Jan  1 00:38:23 2003
DataKind:, CH1, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 1000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
0.00000000E+00, -7.13745575E+01
1.25000000E+00, -6.68477316E+01
2.50000000E+00, -4.95987805E+01
3.75000000E+00, -3.60041272E+01
5.00000000E+00, -3.78712933E+01
6.25000000E+00, -4.74423565E+01
7.50000000E+00, -4.40276912E+01
8.75000000E+00, -3.59303069E+01
1.00000000E+01, -1.76490731E+01
1.12500000E+01, -4.90072056E+00
1.25000000E+01, -5.59921386E+00
1.37500000E+01, -2.09030998E+01
1.50000000E+01, -3.70463748E+01
1.62500000E+01, -4.61319255E+01
1.75000000E+01, -5.32306167E+01
1.87500000E+01, -5.87798413E+01
2.00000000E+01, -6.14237403E+01
2.12500000E+01, -6.70372980E+01
2.25000000E+01, -6.98505473E+01
2.37500000E+01, -5.83659113E+01
2.50000000E+01, -7.19477486E+01
2.62500000E+01, -8.39285740E+01
2.75000000E+01, -7.65669090E+01
2.87500000E+01, -7.94968747E+01
3.00000000E+01, -7.91459381E+01
3.12500000E+01, -8.43063910E+01
3.25000000E+01, -8.22301022E+01
3.37500000E+01, -7.33589791E+01
3.50000000E+01, -6.40086867E+01
3.62500000E+01, -6.57762442E+01
3.75000000E+01, -8.33759312E+01
3.87500000E+01, -8.26603733E+01
4.00000000E+01, -7.78812522E+01
4.12500000E+01, -1.00818348E+02
4.25000000E+01, -9.27645911E+01
4.37500000E+01, -8.23708140E+01
4.50000000E+01, -7.83297544E+01
4.62500000E+01, -5.85497769E+01
4.75000000E+01, -5.54516860E+01
4.87500000E+01, -6.51215602E+01
5.00000000E+01, -7.91905677E+01
5.12500000E+01, -8.30408728E+01
5.25000000E+01, -9.20702455E+01
5.37500000E+01, -9.37774769E+01
5.50000000E+01, -9.37997676E+01
5.62500000E+01, -8.58519285E+01
5.75000000E+01, -7.03047894E+01
5.87500000E+01, -6.12467465E+01
6.00000000E+01, -6.51539636E+01
6.12500000E+01, -9.95769235E+01
6.25000000E+01, -9.95438749E+01
6.37500000E+01, -8.64468374E+01
6.50000000E+01, -9.26696174E+01
6.62500000E+01, -9.14334078E+01
6.75000000E+01, -8.74246542E+01
6.87500000E+01, -8.22763343E+01
7.00000000E+01, -6.82879384E+01
7.12500000E+01, -6.66537727E+01
7.25000000E+01, -7.67293132E+01
7.37500000E+01, -8.25720941E+01
7.50000000E+01, -8.13318887E+01
7.62500000E+01, -8.97857364E+01
7.75000000E+01, -9.14760134E+01
7.87500000E+01, -8.72178093E+01
8.00000000E+01, -9.28363394E+01
8.12500000E+01, -6.62810075E+01
8.25000000E+01, -5.90538525E+01
8.37500000E+01, -6.39000286E+01
8.50000000E+01, -8.37898950E+01
8.62500000E+01, -8.01194402E+01
8.75000000E+01, -8.35197046E+01
8.87500000E+01, -9.23340298E+01
9.00000000E+01, -9.35625354E+01
9.12500000E+01, -8.27902951E+01
9.25000000E+01, -8.51952312E+01
9.37500000E+01, -8.57916401E+01
9.50000000E+01, -8.37806073E+01
9.62500000E+01, -8.87011802E+01
9.75000000E+01, -8.39317843E+01
9.87500000E+01, -8.17348260E+01
1.00000000E+02, -9.00932351E+01
1.01250000E+02, -9.53178247E+01
1.02500000E+02, -9.37848585E+01
1.03750000E+02, -9.35410728E+01
1.05000000E+02, -8.74482610E+01
1.06250000E+02, -8.17820334E+01
1.07500000E+02, -8.80878525E+01
1.08750000E+02, -9.01065515E+01
1.10000000E+02, -8.51484515E+01
1.11250000E+02, -9.12538297E+01
1.12500000E+02, -9.59505366E+01
1.13750000E+02, -8.34179854E+01
1.15000000E+02, -8.16252990E+01
1.16250000E+02, -8.18149852E+01
1.17500000E+02, -6.81285614E+01
1.18750000E+02, -6.92612885E+01
1.20000000E+02, -8.32323421E+01
1.21250000E+02, -8.63773479E+01
1.22500000E+02, -8.82912152E+01
1.23750000E+02, -1.10948250E+02
1.25000000E+02, -9.15817802E+01
1.26250000E+02, -8.59598240E+01
1.27500000E+02, -1.03320592E+02
1.28750000E+02, -6.88836017E+01
1.30000000E+02, -6.47428517E+01
1.31250000E+02, -7.26225039E+01
1.32500000E+02, -8.93928057E+01
1.33750000E+02, -8.84575583E+01
1.35000000E+02, -9.55887103E+01
1.36250000E+02, -1.08104031E+02
1.37500000E+02, -8.68674881E+01
1.38750000E+02, -8.59399348E+01
1.40000000E+02, -8.24377258E+01
1.41250000E+02, -7.49269731E+01
1.42500000E+02, -7.76681906E+01
1.43750000E+02, -8.66546983E+01
1.45000000E+02, -8.53090582E+01
1.46250000E+02, -8.91685595E+01
1.47500000E+02, -9.66749384E+01
1.48750000E+02, -9.15885622E+01
1.50000000E+02, -8.60559514E+01
1.51250000E+02, -9.26972121E+01
1.52500000E+02, -7.92992740E+01
1.53750000E+02, -7.59501793E+01
1.55000000E+02, -8.52732073E+01
1.56250000E+02, -8.86839938E+01
1.57500000E+02, -8.67407869E+01
1.58750000E+02, -9.43335519E+01
1.60000000E+02, -9.59852594E+01
1.61250000E+02, -8.80976816E+01
1.62500000E+02, -9.05823055E+01
1.63750000E+02, -8.21086401E+01
1.65000000E+02, -7.51389640E+01
1.66250000E+02, -7.97744443E+01
1.67500000E+02, -9.71043578E+01
1.68750000E+02, -9.32227777E+01
1.70000000E+02, -9.09771256E+01
1.71250000E+02, -9.11774914E+01
1.72500000E+02, -9.16837758E+01
1.73750000E+02, -9.59269358E+01
1.75000000E+02, -8.94414292E+01
1.76250000E+02, -7.60002941E+01
1.77500000E+02, -7.54707846E+01
1.78750000E+02, -8.79383399E+01
1.80000000E+02, -1.07797861E+02
1.81250000E+02, -1.02152366E+02
1.82500000E+02, -8.83555471E+01
1.83750000E+02, -8.70642139E+01
1.85000000E+02, -9.34852758E+01
1.86250000E+02, -1.01447104E+02
1.87500000E+02, -8.81595316E+01
1.88750000E+02, -8.22644989E+01
1.90000000E+02, -8.83528867E+01
1.91250000E+02, -1.02990187E+02
1.92500000E+02, -9.49486374E+01
1.93750000E+02, -8.88887609E+01
1.95000000E+02, -8.52550996E+01
1.96250000E+02, -9.28315611E+01
1.97500000E+02, -9.29828367E+01
1.98750000E+02, -9.92565798E+01
2.00000000E+02, -1.02487482E+02
2.01250000E+02, -1.02718627E+02
2.02500000E+02, -1.01970123E+02
2.03750000E+02, -1.08695602E+02
2.05000000E+02, -1.00544618E+02
2.06250000E+02, -1.00512877E+02
2.07500000E+02, -1.07021695E+02
2.08750000E+02, -1.05336892E+02
2.10000000E+02, -9.99018699E+01
2.11250000E+02, -9.01587656E+01
2.12500000E+02, -8.44520972E+01
2.13750000E+02, -8.89340745E+01
