Label:, CH2: Time
DateTime:, Wed Jan  1 00:41:33 2003
DataKind:, CH2, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 2000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
3.04687500E-02, 1.93505371E+00
3.06640625E-02, 1.93491077E+00
3.08593750E-02, 1.95017993E+00
3.10546875E-02, 1.98754632E+00
3.12500000E-02, 1.97571719E+00
3.14453125E-02, 2.01125240E+00
3.16406250E-02, 2.02637315E+00
3.18359375E-02, 2.02517509E+00
3.20312500E-02, 2.06431127E+00
3.22265625E-02, 2.05904579E+00
3.24218750E-02, 2.07916522E+00
3.26171875E-02, 2.10452151E+00
3.28125000E-02, 2.09543920E+00
3.30078125E-02, 2.12979674E+00
3.32031250E-02, 2.13439417E+00
3.33984375E-02, 2.13976812E+00
3.35937500E-02, 2.17043090E+00
3.37890625E-02, 2.16197085E+00
3.39843750E-02, 2.18514109E+00
3.41796875E-02, 2.19781780E+00
3.43750000E-02, 2.19347501E+00
3.45703125E-02, 2.22238493E+00
3.47656250E-02, 2.21801615E+00
3.49609375E-02, 2.22813272E+00
3.51562500E-02, 2.24672723E+00
3.53515625E-02, 2.23906922E+00
3.55468750E-02, 2.25966120E+00
3.57421875E-02, 2.26227069E+00
3.59375000E-02, 2.26322126E+00
3.61328125E-02, 2.28180957E+00
3.63281250E-02, 2.27531838E+00
3.65234375E-02, 2.28655744E+00
3.67187500E-02, 2.29479122E+00
3.69140625E-02, 2.28968787E+00
3.71093750E-02, 2.30345988E+00
3.73046875E-02, 2.30157804E+00
3.75000000E-02, 2.30297399E+00
3.76953125E-02, 2.31162524E+00
3.78906250E-02, 2.30604005E+00
3.80859375E-02, 2.31107140E+00
3.82812500E-02, 2.31218362E+00
3.84765625E-02, 2.30856037E+00
3.86718750E-02, 2.31191444E+00
3.88671875E-02, 2.30863142E+00
3.90625000E-02, 2.30698156E+00
3.92578125E-02, 2.30599999E+00
3.94531250E-02, 2.30221510E+00
3.96484375E-02, 2.29852319E+00
3.98437500E-02, 2.29510951E+00
4.00390625E-02, 2.29187417E+00
4.02343750E-02, 2.28497434E+00
4.04296875E-02, 2.28214002E+00
4.06250000E-02, 2.27489686E+00
4.08203125E-02, 2.26733136E+00
4.10156250E-02, 2.26523900E+00
4.12109375E-02, 2.25175261E+00
4.14062500E-02, 2.24748445E+00
4.16015625E-02, 2.24098635E+00
4.17968750E-02, 2.22521758E+00
4.19921875E-02, 2.22554493E+00
4.21875000E-02, 2.21099901E+00
4.23828125E-02, 2.19958043E+00
4.25781250E-02, 2.19726992E+00
4.27734375E-02, 2.17515898E+00
4.29687500E-02, 2.17256141E+00
4.31640625E-02, 2.16143608E+00
4.33593750E-02, 2.14051604E+00
4.35546875E-02, 2.14271021E+00
4.37500000E-02, 2.11925435E+00
4.39453125E-02, 2.10728931E+00
4.41406250E-02, 2.10384536E+00
4.43359375E-02, 2.07395267E+00
4.45312500E-02, 2.07256341E+00
4.47265625E-02, 2.05456591E+00
4.49218750E-02, 2.03065872E+00
4.51171875E-02, 2.03218937E+00
4.53125000E-02, 1.99882793E+00
4.55078125E-02, 1.98935115E+00
4.57031250E-02, 1.97889781E+00
4.58984375E-02, 1.94306886E+00
4.60937500E-02, 1.94680953E+00
4.62890625E-02, 1.91565049E+00
4.64843750E-02, 1.89382219E+00
4.66796875E-02, 1.89570761E+00
4.68750000E-02, 1.85210800E+00
4.70703125E-02, 1.85002267E+00
4.72656250E-02, 1.83337975E+00
4.74609375E-02, 1.79384005E+00
4.76562500E-02, 1.79953027E+00
4.78515625E-02, 1.76096070E+00
4.80468750E-02, 1.73988140E+00
4.82421875E-02, 1.73810470E+00
4.84375000E-02, 1.68827689E+00
4.86328125E-02, 1.68596160E+00
4.88281250E-02, 1.66249788E+00
4.90234375E-02, 1.62048888E+00
4.92187500E-02, 1.62763476E+00
4.94140625E-02, 1.58068240E+00
4.96093750E-02, 1.56061971E+00
4.98046875E-02, 1.55463994E+00
5.00000000E-02, 1.49767041E+00
5.01953125E-02, 1.50032544E+00
5.03906250E-02, 1.46617424E+00
5.05859375E-02, 1.42419660E+00
5.07812500E-02, 1.43052423E+00
5.09765625E-02, 1.37124097E+00
5.11718750E-02, 1.35948169E+00
5.13671875E-02, 1.34286833E+00
5.15625000E-02, 1.28087473E+00
5.17578125E-02, 1.28927088E+00
5.19531250E-02, 1.23888659E+00
5.21484375E-02, 1.20446956E+00
5.23437500E-02, 1.20655072E+00
5.25390625E-02, 1.13633204E+00
5.27343750E-02, 1.13542092E+00
5.29296875E-02, 1.10477519E+00
5.31250000E-02, 1.04526842E+00
5.33203125E-02, 1.05671883E+00
5.35156250E-02, 9.92850840E-01
5.37109375E-02, 9.69448209E-01
5.39062500E-02, 9.62397277E-01
5.41015625E-02, 8.90026927E-01
5.42968750E-02, 8.97630692E-01
5.44921875E-02, 8.51799369E-01
5.46875000E-02, 8.03254008E-01
5.48828125E-02, 8.13731670E-01
5.50781250E-02, 7.38844991E-01
5.52734375E-02, 7.26734459E-01
5.54687500E-02, 7.08432615E-01
5.56640625E-02, 6.36989415E-01
