Label:, CH1: Time
DateTime:, Wed Jan  1 00:34:42 2003
DataKind:, CH1, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 9.08801913E-01
6.10351562E-04, 9.23534691E-01
1.22070312E-03, 9.37806368E-01
1.83105469E-03, 9.51920152E-01
2.44140625E-03, 9.66288805E-01
3.05175781E-03, 9.80360508E-01
3.66210938E-03, 9.93890584E-01
4.27246094E-03, 1.00737154E+00
4.88281250E-03, 1.02005291E+00
5.49316406E-03, 1.03227794E+00
6.10351562E-03, 1.04470336E+00
6.71386719E-03, 1.05634511E+00
7.32421875E-03, 1.06763387E+00
7.93457031E-03, 1.07947719E+00
8.54492188E-03, 1.09036720E+00
9.15527344E-03, 1.10089898E+00
9.76562500E-03, 1.11158431E+00
1.03759766E-02, 1.12131429E+00
1.09863281E-02, 1.13092542E+00
1.15966797E-02, 1.14033651E+00
1.22070312E-02, 1.14935327E+00
1.28173828E-02, 1.15833414E+00
1.34277344E-02, 1.16638911E+00
1.40380859E-02, 1.17404044E+00
1.46484375E-02, 1.18155682E+00
1.52587891E-02, 1.18875456E+00
1.58691406E-02, 1.19614303E+00
1.64794922E-02, 1.20280600E+00
1.70898438E-02, 1.20911753E+00
1.77001953E-02, 1.21549153E+00
1.83105469E-02, 1.22105420E+00
1.89208984E-02, 1.22634637E+00
1.95312500E-02, 1.23111308E+00
2.01416016E-02, 1.23525059E+00
2.07519531E-02, 1.23957634E+00
2.13623047E-02, 1.24353683E+00
2.19726562E-02, 1.24701440E+00
2.25830078E-02, 1.25023079E+00
2.31933594E-02, 1.25307703E+00
2.38037109E-02, 1.25570214E+00
2.44140625E-02, 1.25804257E+00
2.50244141E-02, 1.25967920E+00
2.56347656E-02, 1.26058662E+00
2.62451172E-02, 1.26117194E+00
2.68554688E-02, 1.26147377E+00
2.74658203E-02, 1.26140285E+00
2.80761719E-02, 1.26153505E+00
2.86865234E-02, 1.26140976E+00
2.92968750E-02, 1.26049066E+00
2.99072266E-02, 1.25973785E+00
3.05175781E-02, 1.25852609E+00
3.11279297E-02, 1.25674117E+00
3.17382812E-02, 1.25456560E+00
3.23486328E-02, 1.25182641E+00
3.29589844E-02, 1.24905896E+00
3.35693359E-02, 1.24580741E+00
3.41796875E-02, 1.24223447E+00
3.47900391E-02, 1.23827398E+00
3.54003906E-02, 1.23398924E+00
3.60107422E-02, 1.22922635E+00
3.66210938E-02, 1.22409081E+00
3.72314453E-02, 1.21936047E+00
3.78417969E-02, 1.21401906E+00
3.84521484E-02, 1.20822191E+00
3.90625000E-02, 1.20213425E+00
3.96728516E-02, 1.19515574E+00
4.02832031E-02, 1.18808007E+00
4.08935547E-02, 1.18065214E+00
4.15039062E-02, 1.17260897E+00
4.21142578E-02, 1.16447139E+00
4.27246094E-02, 1.15617132E+00
4.33349609E-02, 1.14779437E+00
4.39453125E-02, 1.13899410E+00
4.45556641E-02, 1.12970459E+00
4.51660156E-02, 1.12006307E+00
4.57763672E-02, 1.11001909E+00
4.63867188E-02, 1.09961796E+00
4.69970703E-02, 1.08898056E+00
4.76074219E-02, 1.07802868E+00
4.82177734E-02, 1.06672382E+00
4.88281250E-02, 1.05502403E+00
4.94384766E-02, 1.04328251E+00
5.00488281E-02, 1.03156507E+00
5.06591797E-02, 1.01895463E+00
5.12695312E-02, 1.00625849E+00
5.18798828E-02, 9.93287086E-01
5.24902344E-02, 9.80133414E-01
5.31005859E-02, 9.67485666E-01
5.37109375E-02, 9.53392088E-01
5.43212891E-02, 9.38657224E-01
5.49316406E-02, 9.24724638E-01
5.55419922E-02, 9.10294652E-01
5.61523438E-02, 8.95022929E-01
5.67626953E-02, 8.79819930E-01
5.73730469E-02, 8.64466608E-01
5.79833984E-02, 8.49219918E-01
5.85937500E-02, 8.33070099E-01
5.92041016E-02, 8.16051304E-01
5.98144531E-02, 7.99843371E-01
6.04248047E-02, 7.83170044E-01
6.10351562E-02, 7.65937448E-01
6.16455078E-02, 7.48564124E-01
6.22558594E-02, 7.31276095E-01
6.28662109E-02, 7.13786066E-01
6.34765625E-02, 6.95956349E-01
6.40869141E-02, 6.77905977E-01
6.46972656E-02, 6.59404039E-01
6.53076172E-02, 6.41310751E-01
6.59179688E-02, 6.22739494E-01
6.65283203E-02, 6.04269028E-01
6.71386719E-02, 5.86173892E-01
6.77490234E-02, 5.67115366E-01
6.83593750E-02, 5.48227727E-01
6.89697266E-02, 5.29397666E-01
6.95800781E-02, 5.09684443E-01
7.01904297E-02, 4.90356445E-01
7.08007812E-02, 4.71174002E-01
7.14111328E-02, 4.51308340E-01
7.20214844E-02, 4.32049096E-01
7.26318359E-02, 4.12256211E-01
7.32421875E-02, 3.91803861E-01
7.38525391E-02, 3.71962994E-01
7.44628906E-02, 3.51573288E-01
7.50732422E-02, 3.31726283E-01
